what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263391971163
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263391972589
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263391975737
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263391977329
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263391977343
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263391979293
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263391981937
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263391984202
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263391988904
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263391989086
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263391990029
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263391990270
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263391990482
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263391992637
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263391992912
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263392003663
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263392015145
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263392018073
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263392020009
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1263392020677
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263392029133
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1263392031347
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1263392031368
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263392031616
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263392033840
