what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"14.3-b01",1263391209001
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263391241197
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1263391271550
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1263391271596
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1263391299974
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1263391625674
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1263391625679
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1263391690471
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1263391690498
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263391701291
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1263391701938
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1263391701960
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263391702090
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1263391702233
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1263391702561
opened,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1263391702907
activated,perspective,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavaPerspective",1263391702962
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1263391703018
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263391704043
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263391709172
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263391709258
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1263391714103
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263391718272
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263391778325
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1263391780865
